ppm,Intensity,Sum,Residue,Peak 1,Peak 2,Peak 3,Peak 4
-668.44,550298,0,550298,0,0,0,0
-669.667,538107,0,538107,0,0,0,0
-670.894,525915,0,525915,0,0,0,0
-672.121,520302,0,520302,0,0,0,0
-673.348,514688,0,514688,0,0,0,0
-674.575,517495,0,517495,0,0,0,0
-675.801,520302,0,520302,0,0,0,0
-677.028,527845,0,527845,0,0,0,0
-678.255,535388,0,535388,0,0,0,0
-679.482,542931,0,542931,0,0,0,0
-680.709,550474,0,550474,0,0,0,0
-681.936,551055,0,551055,0,0,0,0
-683.163,551636,0,551636,0,0,0,0
-684.39,526957,0,526957,0,0,0,0
-685.617,502277,0,502277,0,0,0,0
-686.843,452513,0,452513,0,0,0,0
-688.07,402748,0,402748,0,0,0,0
-689.297,361404,0,361404,0,0,0,0
-690.524,320060,0,320060,0,0,0,0
-691.751,299152,0,299152,0,0,0,0
-692.978,278244,0,278244,0,0,0,0
-694.205,276984,0,276984,0,0,0,0
-695.432,275723,0,275723,0,0,0,0
-696.659,294109,0,294109,0,0,0,0
-697.885,312495,0,312495,0,0,0,0
-699.112,330881,0,330881,0,0,0,0
-700.339,349267,0,349267,0,0,0,0
-701.566,351756,0,351756,0,0,0,0
-702.793,354245,0,354245,0,0,0,0
-704.02,356734,0,356734,0,0,0,0
-705.247,359222,0,359222,0,0,0,0
-706.474,364693,0,364693,0,0,0,0
-707.701,370164,0,370164,0,0,0,0
-708.927,361602,0,361602,0,0,0,0
-710.154,353039,0,353039,0,0,0,0
-711.381,314480,0,314480,0,0,0,0
-712.608,275920,0,275920,0,0,0,0
-713.835,237361,0,237361,0,0,0,0
-715.062,198801,0,198801,0,0,0,0
-716.289,200413,0,200413,0,0,0,0
-717.516,202025,0,202025,0,0,0,0
-718.743,228897,0,228897,0,0,0,0
-719.969,255769,0,255769,0,0,0,0
-721.196,272340,0,272340,0,0,0,0
-722.423,288912,0,288912,0,0,0,0
-723.65,280223,0,280223,0,0,0,0
-724.877,271535,0,271535,0,0,0,0
-726.104,259337,0,259337,0,0,0,0
-727.331,247140,0,247140,0,0,0,0
-728.558,254590,0,254590,0,0,0,0
-729.785,262040,0,262040,0,0,0,0
-731.012,265192,0,265192,0,0,0,0
