x_data,y_data,y_fit,component_1,component_2,component_3,component_4
849.226,0.021116507248833988,0.013141485316374803,0.009856039942027179,0.01196263701055239,0.010714963517746487,0.009696078913038485
847.999,0.021712414691543884,0.013163757178589128,0.009856813063610123,0.01197596766172998,0.01072313141212483,0.00969607910811393
846.772,0.021406033300382595,0.013186249857451931,0.009857591790423018,0.011989415995653714,0.010731396793744838,0.009696079344620101
845.545,0.021099605981865416,0.013208966344765007,0.009858376176652065,0.012002983398399218,0.010739761205634425,0.009696079631069037
844.318,0.020930179965976646,0.013231909686027438,0.009859166277138244,0.01201667127646091,0.010748226221758438,0.009696079977659582
843.091,0.020760753950087873,0.013255082981964832,0.009859962147386797,0.012030481057113166,0.010756793447855958,0.009696080396598649
841.864,0.020978036270817006,0.013278489390164462,0.009860763843576885,0.01204441418877892,0.010765464522317362,0.009696080902481034
840.637,0.02119527266419025,0.013302132126830284,0.009861571422571406,0.012058472141405915,0.010774241117104786,0.009696081512737912
839.41,0.02073581539583805,0.013326014468673843,0.009862384941926986,0.012072656406850764,0.010783124938719978,0.009696082248165852
838.184,0.02027635812748585,0.01335011999311171,0.009863203789541924,0.012086956782511774,0.01079211035528798,0.009696083132759771
836.957,0.018962881676305866,0.013374491425700467,0.0098640293601542,0.012101398132703098,0.01080121380238514,0.009696084197447765
835.73,0.017649405225125883,0.013399112675144492,0.009864861048013209,0.01211597040541612,0.010810429812045464,0.009696085476659436
834.503,0.016239251689791425,0.013423987282460624,0.009865698913553163,0.01213067518412701,0.010819760239693858,0.009696087012076332
833.276,0.015602514827692775,0.013449118861414179,0.009866543017954534,0.01214551407626461,0.010829206981023007,0.009696088853161765
832.049,0.016029271818649257,0.013474511101723562,0.00986739342315511,0.012160488713645435,0.010838771973362171,0.009696091058550583
830.822,0.017229445482841547,0.01350016777260352,0.00986825019186124,0.012175600752917895,0.0108484571971391,0.009696093697675021
829.595,0.019394415112275205,0.013526092726695117,0.009869113387559284,0.012190851876015972,0.010858264677445115,0.009696096852664482
828.368,0.02155933881435297,0.01355228990443742,0.00986998307452724,0.012206243790622557,0.010868196485714576,0.009696100620562783
827.141,0.02338591568556802,0.013578763338943726,0.009870859317846604,0.0122217782306427,0.010878254741531349,0.009696105115912812
825.915,0.025212492556783064,0.01360549524189126,0.00987174146116817,0.012237444119357609,0.010888433259348488,0.00969611046900673
824.688,0.026418728631953214,0.013632533454160569,0.009872631010230375,0.01225326879945108,0.0108987508639511,0.00969611684751775
823.461,0.027624918779767468,0.01365986063289417,0.00987352731577557,0.012269241367401464,0.01090920158214803,0.009696124434558848
822.234,0.02818661034233718,0.013687481243379478,0.009874430446221147,0.012285363666918573,0.010919787747206457,0.009696133450023037
821.007,0.028748301904906893,0.013715399878403006,0.009875340470850386,0.012301637570457572,0.010930511752032468,0.009696144152052317
819.78,0.02855269729615919,0.013743621268053955,0.009876257459825594,0.012318064979757,0.010941376052099822,0.009696156843361276
818.553,0.028357092687411486,0.013772150290793424,0.009877181484201499,0.012334647826388555,0.010952383168646364,0.009696171878546744
817.326,0.02816144215130789,0.013800991985963386,0.009878112615938852,0.012351388072318926,0.01096353569216841,0.009696189672526934
816.099,0.027965837542560188,0.013830151567932127,0.0098790509279183,0.012368287710483967,0.010974836286246917,0.009696210710272681
814.873,0.028600048400084732,0.013859610280533865,0.009879995720348199,0.012385334794406105,0.01098627829672881,0.009696235536040487
813.646,0.029234213330253382,0.01388942179103363,0.009880948609200475,0.01240255918859547,0.010997883210006727,0.009696264850220696
812.419,0.029868424187777923,0.01391956804759502,0.009881908902536367,0.01241994914385923,0.011009644664740902,0.009696299403448256
811.192,0.030502635045302467,0.013950055147041111,0.009882876677058911,0.012437506782982194,0.011021565663076502,0.00969634009091324
809.965,0.030587233234857118,0.013980889465295451,0.009883852010464137,0.012455234262785083,0.011033649305816476,0.009696387953219494
808.738,0.030671831424411773,0.014012077687107731,0.00988483498145649,0.01247313377477961,0.011045898799189054,0.009696444198672317
807.511,0.030756429613966425,0.014043626839683139,0.009885825669764533,0.012491207545838292,0.011058317462314086,0.009696510228755966
806.284,0.03084102780352108,0.014075544330712649,0.009886824156156934,0.012509457838879325,0.01107090873544536,0.009696587667220768
805.057,0.030764466901247674,0.01410783799135926,0.009887830522458738,0.012527886953566974,0.011083676189074177,0.009696678393249109
803.831,0.030687951926330167,0.014140489333370764,0.009888844021628963,0.012546481985327224,0.011096612907672018,0.009696784485732296
802.604,0.030611391024056765,0.014173560445401186,0.00988986639094082,0.012565275642325452,0.011109743854698203,0.009696908624426447
801.377,0.030534876049139254,0.014207034271111502,0.009890896892072974,0.012584255245700133,0.011123062577765668,0.009697053622562462
800.15,0.029882294249257566,0.014240920887109234,0.009891935611243886,0.012603423249394629,0.011136573279923238,0.00969722281353722
798.923,0.02922971244937588,0.014275231106888098,0.009892982635814352,0.01262278214784619,0.011150280356525086,0.009697420033692209
797.696,0.028577130649494194,0.014309976569198066,0.009894038054305663,0.012642334476787993,0.011164188411841691,0.009697649693252456
796.469,0.027924548849612506,0.014345169837405965,0.00989510195641809,0.012662082814069756,0.011178302277423778,0.00969791685648408
795.242,0.02743308021420298,0.014380824511106999,0.009896174433049732,0.012682029780497336,0.011192627032400822,0.009698227332148845
794.015,0.02694165750614935,0.014416955351373398,0.00989725557631569,0.012702178040691887,0.011207168025912692,0.009698587775442866
792.789,0.026450188870739823,0.014453548368442317,0.009898344587708557,0.012722513633149975,0.01122191877826894,0.009699005436304583
791.562,0.025958720235330298,0.014490680766820651,0.00989944333829925,0.012743072484778536,0.011236909314589085,0.009699489696143516
790.335,0.026324301988237486,0.014528342057554152,0.009900551039290228,0.012763840893522466,0.011252134012634602,0.009700050179096595
789.108,0.026689883741144674,0.014566553227690848,0.009901667787862707,0.012784821708225669,0.011267599576258742,0.00970069822233347
787.881,0.02705541956669597,0.01460533731498204,0.00990279368251636,0.012806017826153995,0.011283313131769774,0.00970144674153165
786.654,0.027421001319603157,0.014644719652392236,0.00990392882309077,0.012827432193983027,0.011299282268463634,0.009702310433844542
785.427,0.02762542398068229,0.01468472814035323,0.009905073310787296,0.012849067808809364,0.011315515083280476,0.009703306004465832
784.2,0.027829892569117314,0.014725393549542155,0.009906227248191339,0.012870927719186073,0.011332020229975518,0.009704452419178965
782.973,0.028034315230196446,0.014766749857189239,0.009907390739295065,0.012893015026182938,0.011348806973226553,0.009705771185474419
781.746,0.02823873789127558,0.014808834620158431,0.009908563889520525,0.012915332884472188,0.011365885248134698,0.009707286665020758
780.52,0.028070551913995916,0.014851654136152201,0.009909745837665667,0.012937866027901387,0.011383251434489667,0.009709024903085216
779.293,0.02790236593671625,0.014895324224555596,0.009910938620146605,0.012960654478268436,0.011400945332502122,0.00971101986062817
778.066,0.02773417995943659,0.01493986123053202,0.009912141386742727,0.012983683274082693,0.011418965266078572,0.009713305370617766
776.839,0.02756603990951282,0.014985321618731074,0.009913354248834796,0.01300695579577038,0.011437324572123648,0.00971592106899199
