x_data,y_data,y_fit,component_1
649.9490171311481,0.0,0.004241880283458338,0.004241880283458338
649.4989329353484,0.00030416183236372304,0.004349471280020148,0.004349471280020148
649.0488487395478,0.0006924174447009896,0.0044592122995196545,0.0044592122995196545
648.5987645437481,0.0011046647854823825,0.004571160844856091,0.004571160844856091
648.1486803479474,0.0014535225542946066,0.0046853763485227365,0.0046853763485227365
647.6985961521477,0.001699250917231303,0.004801920250590832,0.004801920250590832
647.2485119563471,0.0018457220879647966,0.0049208560803874635,0.0049208560803874635
646.7984277605474,0.00189454673087161,0.005042249542060397,0.005042249542060397
646.3483435647468,0.0018805140932898518,0.005166168604249895,0.005166168604249895
645.898259368947,0.0018919128533380842,0.0052926835940854695,0.0052926835940854695
645.4481751731464,0.0019776421195706654,0.005421867295755103,0.005421867295755103
644.9980909773467,0.002092920457943765,0.005553795053893581,0.005553795053893581
644.548006781547,0.0021807926800334657,0.005688544882068453,0.005688544882068453
644.0979225857463,0.002251322680206088,0.005826197576645029,0.005826197576645029
643.6478383899466,0.0023726575579128234,0.0059668368363390255,0.0059668368363390255
643.197754194146,0.002620608858328077,0.0061105493877856125,0.0061105493877856125
642.7476699983463,0.0030041041851963744,0.006257425117464658,0.006257425117464658
642.2975858025457,0.0034258748549026515,0.006407557210360508,0.006407557210360508
641.8475016067459,0.003776506009321218,0.006561042295740654,0.006561042295740654
641.3974174109453,0.004059133479609791,0.006717980600482499,0.006717980600482499
640.9473332151456,0.004354535945432699,0.006878476110386091,0.006878476110386091
640.497249019345,0.004692629291194294,0.007042636739960299,0.007042636739960299
640.0471648235452,0.005019081174056399,0.007210574511182066,0.007210574511182066
639.5970806277446,0.005259762420881732,0.007382405741783516,0.007382405741783516
639.1469964319449,0.005393715088866876,0.00755825124363794,0.00755825124363794
638.6969122361443,0.005489028359737156,0.0077382365318772895,0.0077382365318772895
638.2468280403446,0.005644581581484158,0.007922492045394981,0.007922492045394981
637.7967438445439,0.005865959677673734,0.008111153379456787,0.008111153379456787
637.3466596487442,0.006046649192447494,0.008304361531169797,0.008304361531169797
636.8965754529436,0.0060956999902838874,0.008502263158636968,0.008502263158636968
636.4464912571439,0.006031124483927896,0.008705010854659084,0.008705010854659084
635.9964070613432,0.005940246056066946,0.008912763435933634,0.008912763435933634
