,Parameters,Values,Errors
0,B,5.582274400706389e-07,2.017349411296929e-07
1,Ea,0.43431736073534183,0.008295470615769945
2,A,81.91524661019335,0.4637460383354027
3,D,3.3891619326642086,0.2643969759289873
