x_data,y_data,y_fit,component_1,component_2
-540.0175794852858,0.01799558084000156,0.004785739251791576,0.004785739251791422,-0.002770462796658809
-540.0687499936253,0.017855517634848564,0.004806055742075644,0.004806055742075479,-0.0027704627966587984
-540.1199205019652,0.017715717560924167,0.004826453297450507,0.004826453297450331,-0.002770462796658787
-540.1710910103047,0.01757631218384267,0.004846932344759032,0.004846932344758845,-0.0027704627966587754
-540.2222615186447,0.017437430489500444,0.004867493313640179,0.004867493313639977,-0.002770462796658763
-540.2734320269842,0.01729919888407594,0.00488813663655009,0.004888136636549877,-0.002770462796658749
-540.3246025353237,0.017161741194029665,0.004908862748786205,0.004908862748785978,-0.0027704627966587347
-540.3757730436637,0.017025186405258002,0.004929672088509758,0.0049296720885095135,-0.0027704627966587195
-540.4269435520032,0.01688966092393939,0.004950565096768543,0.004950565096768283,-0.002770462796658703
-540.4781140603432,0.01675527825766264,0.004971542217521803,0.004971542217521526,-0.0027704627966586856
-540.5292845686827,0.016622159653170338,0.0049926038976625745,0.0049926038976622795,-0.002770462796658667
-540.5804550770226,0.01649042635720508,0.0050137505870432916,0.005013750587042976,-0.0027704627966586475
-540.6316255853621,0.01636018155848396,0.0050349827384987035,0.005034982738498367,-0.0027704627966586262
-540.6827960937017,0.016231533605159932,0.005056300807871833,0.005056300807871474,-0.0027704627966586037
-540.7339666020416,0.01610458826566802,0.005077705254038396,0.005077705254038013,-0.00277046279665858
-540.7851371103811,0.015979438409853615,0.005099196538931471,0.0050991965389310615,-0.0027704627966585542
-540.8363076187211,0.01585618206699796,0.005120775127568365,0.0051207751275679295,-0.002770462796658527
-540.8874781270606,0.015734901788074726,0.0051424414880749825,0.005142441488074518,-0.002770462796658498
-540.9386486354001,0.015615672384903821,0.005164196091713286,0.0051641960917127895,-0.002770462796658467
-540.9898191437401,0.01549858156789477,0.005186039412907217,0.005186039412906688,-0.002770462796658434
-541.0409896520796,0.015383680931406126,0.005207971929268926,0.005207971929268362,-0.002770462796658399
-541.0921601604196,0.015271042707539855,0.005229994121627257,0.005229994121626655,-0.0027704627966583617
-541.1433306687591,0.015160710751500725,0.005252106474053652,0.00525210647405301,-0.002770462796658322
-541.1945011770986,0.015052734077929357,0.005274309473891341,0.005274309473890657,-0.0027704627966582793
-541.2456716854385,0.014947143643440882,0.005296603611782923,0.005296603611782195,-0.002770462796658234
-541.296842193778,0.014843980723522136,0.005318989381698284,0.005318989381697507,-0.002770462796658186
-541.348012702118,0.01474325821676276,0.0053414672809648876,0.00534146728096406,-0.0027704627966581344
-541.3991832104575,0.014644994181188243,0.005364037810295444,0.005364037810294561,-0.00277046279665808
-541.4503537187975,0.014549196355952369,0.005386701473819155,0.0053867014738182145,-0.0027704627966580217
-541.501524227137,0.01445586216133721,0.0054094587791101555,0.005409458779109153,-0.0027704627966579597
-541.5526947354765,0.014364986437906912,0.005432310237219365,0.005432310237218296,-0.0027704627966578937
-541.6038652438165,0.014276548547918055,0.005455256362704726,0.005455256362703586,-0.0027704627966578235
-541.655035752156,0.014190522694191363,0.005478297673661885,0.005478297673660671,-0.002770462796657749
-541.706206260496,0.014106877920111708,0.0055014346917572985,0.005501434691756004,-0.002770462796657669
-541.7573767688355,0.014025570370474324,0.005524667942258756,0.005524667942257377,-0.0027704627966575845
-541.808547277175,0.01394654845092066,0.0055479979540694006,0.005547997954067931,-0.0027704627966574943
