x_data,y_data,y_fit,component_1,component_2,component_3,component_4,component_5,component_6
799.9340708023083,0.004426610845207877,0.0029951669654053603,4.4276380502313433e-35,0.0006533867454101957,0.00017163749418068326,0.00020499911981809043,4.409935949265114e-15,4.1688064015084904e-06
799.7806330076182,0.004348038621618394,0.002996193083006915,4.4305548156071896e-35,0.0006539276758279718,0.00017181109542353345,0.00020528451400384992,4.592486739780256e-15,4.1949981203545015e-06
799.6271952129264,0.004277735722012104,0.0029972212018094524,4.433474461611021e-35,0.0006544692769081339,0.00017198495981979157,0.00020557050359693772,4.782473567401934e-15,4.221661849887745e-06
799.4737574182363,0.004216099822507011,0.002998251334787483,4.4363969920339577e-35,0.0006550115497575451,0.0001721590879008575,0.00020585709025198047,4.9801942648707035e-15,4.248807242096862e-06
799.3203196235463,0.004163329761162117,0.002999283495071836,4.4393224106734547e-35,0.0006555544954853679,0.00017233348019947759,0.00020614427562935697,5.1859583843543535e-15,4.2764441404215165e-06
799.1668818288563,0.00411940994283554,0.0030003176960349265,4.4422507213331796e-35,0.0006560981152030435,0.00017250813724974034,0.0002064320613952087,5.400087650054048e-15,4.304582583346483e-06
799.0134440341662,0.004084145428253747,0.003001353951262331,4.4451819278230577e-35,0.0006566424100243046,0.00017268305958708272,0.0002067204492214673,5.622916427959924e-15,4.333232808060365e-06
798.8600062394744,0.0040571580352260885,0.0030023922744817355,4.4481160339593194e-35,0.0006571873810651862,0.00017285824774829588,0.0002070094407858817,5.8547922133811496e-15,4.362405254178438e-06
798.7065684447844,0.004037882439859324,0.0030034326796908317,4.4510530435643734e-35,0.000657733029444007,0.0001730337022715215,0.00020729903777202914,6.096076136894551e-15,4.392110567528836e-06
798.5531306500943,0.004025648051052506,0.0030044751810720527,4.4539929604670315e-35,0.0006582793562814129,0.00017320942369626792,0.0002075892418693598,6.347143489436558e-15,4.4223596040083575e-06
798.3996928554043,0.004019640022642275,0.0030055197930920485,4.456935788502371e-35,0.0006588263627003572,0.00017338541256340626,0.00020788005477320767,6.6083842671890144e-15,4.45316343350204e-06
798.2462550607142,0.004018946038828504,0.003006566530359578,4.459881531511797e-35,0.0006593740498261128,0.0001735616694151763,0.00020817147818481853,6.8802037370335305e-15,4.484533343872743e-06
798.0928172660224,0.0040226030995999485,0.0030076154078386708,4.462830193343077e-35,0.0006599224187862835,0.00017373819479519316,0.00020846351381137817,7.163023023320973e-15,4.516480845020098e-06
797.9393794713324,0.004029605318305189,0.003008666440621255,4.465781777850223e-35,0.0006604714707107855,0.00017391498924844269,0.00020875616336602328,7.457279716724076e-15,4.549017673008077e-06
797.7859416766423,0.004038931213150921,0.0030097196440124208,4.468736288893706e-35,0.0006610212067318913,0.00017409205332129848,0.00020904942856788723,7.763428506038588e-15,4.582155794267925e-06
797.6325038819523,0.004049574897485725,0.003010775033700952,4.471693730340336e-35,0.0006615716279842084,0.00017426938756151753,0.00020934331114211147,8.081941833712234e-15,4.6159074098700394e-06
797.4790660872604,0.004060577270083825,0.0030118326255177408,4.474654106063336e-35,0.0006621227356047002,0.00017444699251824888,0.00020963781281987728,8.413310576027359e-15,4.6502849598720555e-06
797.3256282925704,0.0040710338127160385,0.0030128924355636855,4.4776174199422235e-35,0.0006626745307326643,0.00017462486874202898,0.00020993293533841753,8.758044748801492e-15,4.6853011277395235e-06
797.1721904978804,0.004080125780433533,0.00301395448019548,4.4805836758630303e-35,0.0006632270145097777,0.0001748030167847991,0.00021022868044106284,9.116674239607506e-15,4.720968844846908e-06
797.0187527031903,0.004087131897924244,0.003015018776054035,4.483552877718169e-35,0.0006637801880800771,0.00017498143719990074,0.0002105250498772533,9.489749567405801e-15,4.757301295051977e-06
796.8653149085003,0.004091428359512872,0.003016085340078689,4.4865250294064905e-35,0.0006643340525899709,0.00017516013054208227,0.00021082204540256763,9.877842670655823e-15,4.794311919350872e-06
796.7118771138084,0.004092512221873706,0.0030171541893935228,4.4895001348333256e-35,0.0006648886091882513,0.00017533909736750522,0.0002111196687787524,1.028154772493184e-14,4.83201442061305e-06
796.5584393191184,0.0040900247967434475,0.0030182253414068327,4.492478197910358e-35,0.0006654438590260745,0.0001755183382337401,0.0002114179217737341,1.0701481991098072e-14,4.870422768395218e-06
796.4050015244284,0.004083704865495566,0.003019298813910609,4.495459222555851e-35,0.0006659998032570063,0.00017569785369978358,0.0002117168061616662,1.1138286695236159e-14,4.909551203842053e-06
796.2515637297383,0.004073435464565943,0.0030203746249384267,4.498443212694515e-35,0.0006665564430370009,0.00017587764432605406,0.00021201632372294123,1.159262794138826e-14,4.949414244666223e-06
796.0981259350483,0.004059204897598165,0.0030214527927370227,4.5014301722575616e-35,0.0006671137795244138,0.00017605771067439834,0.00021231647624422094,1.2065197658387975e-14,4.990026690215607e-06
795.9446881403564,0.004041118431799942,0.003022533335922617,4.504420105182745e-35,0.0006676718138800144,0.00017623805330809828,0.00021261726551846576,1.2556714582002544e-14,5.031403626626866e-06
795.7912503456664,0.004019398297943096,0.0030236162734382788,4.507413015414238e-35,0.000668230547266966,0.0001764186727918662,0.00021291869334494776,1.3067925273641383e-14,5.073560432064236e-06
795.6378125509764,0.003994352500079808,0.003024701624468662,4.510408906902857e-35,0.0006687899808508708,0.00017659956969186253,0.00021322076152929836,1.3599605177056464e-14,5.1165127820522205e-06
795.4843747562863,0.003966374815542611,0.00302578940852527,4.51340778360593e-35,0.00066935011579975,0.00017678074457569136,0.00021352347188352094,1.4152559714297375e-14,5.160276654893845e-06
